Date,Data source,Account name,Campaign name,Clicks,Impressions,Cost,Currency,Conversions,CPC,CTR,Conversion rate
2026-04-27,LinkedIn Ads,GTM Week London,Ticket - Early Bird LinkedIn Ads,1273,57820,8365.34,GBP,88,6.57,2.2,6.91
2026-04-27,LinkedIn Ads,GTMTechWeek-London,Lookalike - polyai,517,75145,1769.53,GBP,36,3.42,0.69,6.96
2026-04-27,LinkedIn Ads,GTM Week London,Lookalike - polyai,234,36749,1133.54,GBP,7,4.84,0.64,2.99
2026-04-27,Meta Ads,GTMTechWeek-London,ABM - poly.ai,396,72089,1914.77,GBP,16,4.84,0.55,4.04
2026-04-27,Meta Ads,GTMTechWeek-London,ABM - seismic.com,1625,76712,9182.25,GBP,77,5.65,2.12,4.74
2026-04-27,Google Ads,GTM Tech Week,Sponsor Retargeting - Transmission Ltd ,263,27129,1446.51,GBP,5,5.5,0.97,1.9
2026-04-27,Google Ads,GTMTechWeek-London,Ticket - Early Bird Google Ads,350,37044,2011.91,GBP,23,5.75,0.94,6.57
2026-04-27,Email Newsletter,GTM Tech Week,Warsaw alumni reactivation,298,13360,1072.19,GBP,14,3.6,2.23,4.7
2026-05-04,LinkedIn Ads,GTMTechWeek-London,Lookalike - CremarcLtd,77,12781,414.64,GBP,1,5.38,0.6,1.3
2026-05-04,LinkedIn Ads,GTM Tech Week,Sponsor Retargeting - Salesloft (UK) ,1461,84709,8187.15,GBP,82,5.6,1.72,5.61
2026-05-04,LinkedIn Ads,GTM Tech Week,Lookalike - LivespaceLtd,764,65684,2163,GBP,9,2.83,1.16,1.18
2026-05-04,Meta Ads,GTMTechWeek-London,Lookalike - ShowpadLtd,811,88834,3791.29,GBP,38,4.67,0.91,4.69
2026-05-04,Meta Ads,GTMTechWeek-London,Lookalike - CMS,449,35570,1943.22,GBP,11,4.33,1.26,2.45
2026-05-04,Google Ads,GTM Week London,Lookalike - CMS,849,49267,3221.03,GBP,23,3.79,1.72,2.71
2026-05-04,Google Ads,GTMTechWeek-London,Ticket - Early Bird Google Ads,558,29777,1550.7,GBP,28,2.78,1.87,5.02
2026-05-04,Email Newsletter,GTM Tech Week,Early Bird launch,134,17292,559.15,GBP,2,4.17,0.77,1.49
2026-05-11,LinkedIn Ads,GTMTechWeek-London,Lookalike - SurferLtd,1403,64638,3899.79,GBP,16,2.78,2.17,1.14
2026-05-11,LinkedIn Ads,GTMTechWeek-London,ABM - surferseo.com,73,8145,382.63,GBP,1,5.24,0.9,1.37
2026-05-11,LinkedIn Ads,GTM Week London,ABM - surferseo.com,303,33132,1090.94,GBP,19,3.6,0.91,6.27
2026-05-11,Meta Ads,GTM Week London,Sponsor Retargeting - Seismic Ltd ,164,7374,420.45,GBP,6,2.56,2.22,3.66
2026-05-11,Meta Ads,GTM Tech Week,Lookalike - brand24,527,38532,3412.65,GBP,8,6.48,1.37,1.52
2026-05-11,Google Ads,GTM Tech Week,Ticket - Early Bird Google Ads,240,10111,1410.8,GBP,17,5.88,2.37,7.08
2026-05-11,Google Ads,GTMTechWeek-London,ABM - seismic.com,288,12523,1217.09,GBP,9,4.23,2.3,3.13
2026-05-11,Email Newsletter,GTMTechWeek-London,Speaker promo - Daniel Disney,124,7517,733.34,GBP,6,5.91,1.65,4.84
2026-05-18,LinkedIn Ads,GTMTechWeek-London,Sponsor Retargeting - Showpad Ltd ,179,26605,535.31,GBP,12,2.99,0.67,6.7
2026-05-18,LinkedIn Ads,GTM Week London,Ticket - Early Bird LinkedIn Ads,475,44231,3448.18,GBP,5,7.26,1.07,1.05
2026-05-18,LinkedIn Ads,GTMTechWeek-London,Sponsor Retargeting - 83north ,473,65588,3080.69,GBP,12,6.51,0.72,2.54
2026-05-18,Meta Ads,GTM Week London,Ticket - Early Bird Meta Ads,719,34394,4281.54,GBP,46,5.95,2.09,6.4
2026-05-18,Meta Ads,GTM Tech Week,Sponsor Retargeting - Dawn Capital  ,661,62293,3350.36,GBP,20,5.07,1.06,3.03
2026-05-18,Google Ads,GTM Week London,Lookalike - LivespaceLtd,1760,76919,4956.01,GBP,46,2.82,2.29,2.61
2026-05-18,Google Ads,GTM Tech Week,Lookalike - SeismicLtd,556,32357,1389,GBP,19,2.5,1.72,3.42
2026-05-18,Email Newsletter,GTMTechWeek-London,Warsaw alumni reactivation,1138,57189,6661.88,GBP,66,5.85,1.99,5.8
2026-05-25,LinkedIn Ads,GTM Tech Week,Sponsor Retargeting - 83north ,1310,75136,6397.47,GBP,22,4.88,1.74,1.68
2026-05-25,LinkedIn Ads,GTMTechWeek-London,ABM - sixandflow.com,1274,79662,3386.67,GBP,47,2.66,1.6,3.69
2026-05-25,LinkedIn Ads,GTM Week London,Sponsor Retargeting - polyai ,1189,77652,3185.29,GBP,52,2.68,1.53,4.37
2026-05-25,Meta Ads,GTMTechWeek-London,Lookalike - Six&FlowLtd,321,57366,2442.93,GBP,10,7.61,0.56,3.12
