name,domain,type,reason,notes
Pavilion,joinpavilion.com,Competitor event,Runs GTM2026 + CRO/CMO summits — direct audience overlap,"Partner, do not pitch as sponsor"
SaaStock,saastock.com,Competitor event,Runs SaaStock Europe (Dublin) — overlapping founder audience,Explore cross-promo instead
Clay,clay.com,Conflict — owns category event,"Runs Sculpt + Clay Clubs; co-create, do not hard-sell a booth",See account-deep-dive_ANCHOR.md
Gong,gong.io,Competitor event,Runs Gong Celebrate (London tour stop),Anchor sponsor candidate but avoid date clash
HubSpot,hubspot.com,Competitor event,Runs INBOUND/UNBOUND,"Sponsor-tier only, not media partner"
Salesforce,salesforce.com,Competitor event,Runs Dreamforce,Out of scale band
Reply.io,reply.io,Conflict — already signed,Committed budget to a competing Q1 event,Re-approach for 2028
ZoomInfo,zoominfo.com,Do not approach,Past negative experience flagged by organiser,Revisit only warm-intro
Web Summit,websummit.com,Competitor event,Lisbon mega-event,N/A as sponsor
Revenue Operations Alliance,revenueoperationsalliance.com,Competitor event,Runs RevOps Festival London (Jun 2027 clash risk),Date-clash watch
B2B Marketing,b2bmarketing.net,Competitor event,Runs B2B Marketing Live London,Possible media partner
Slush,slush.org,Competitor event,Helsinki founder event,N/A
