company_domain,company_name,is_past_sponsor,uk_london_presence,sells_to_gtm,recently_funded,events_budget_signal,audience_overlap,hiring_demand_gen,icp_fit_score,tier,recommended_package,rationale
wonderful.ai,Wonderful,true,3,3,1,4,3,5,66,B,Gold,Sponsored Warsaw 2026; warm renewal candidate.
cms.law,CMS,true,5,3,3,5,4,3,81,A,Platinum,Sponsored Warsaw 2026; warm renewal candidate.
livespace.io,Livespace,true,2,5,4,3,4,0,69,B,Gold,Sponsored Warsaw 2026; warm renewal candidate.
getzowie.com,Zowie,true,2,3,1,1,3,4,49,C,Side-event Partner,Sponsored Warsaw 2026; warm renewal candidate.
surferseo.com,Surfer,true,2,3,1,3,3,3,55,B,Silver,Sponsored Warsaw 2026; warm renewal candidate.
viktor.com,Viktor,true,2,3,1,0,3,2,42,C,Side-event Partner,Sponsored Warsaw 2026; warm renewal candidate.
zeema.pl,Zeema,true,2,3,2,4,3,4,63,B,Silver,Sponsored Warsaw 2026; warm renewal candidate.
getzynt.com,ZYNT,true,2,3,2,2,3,4,56,B,Gold,Sponsored Warsaw 2026; warm renewal candidate.
woodpecker.co,Woodpecker,true,2,5,2,4,4,1,69,B,Gold,Sponsored Warsaw 2026; warm renewal candidate.
grafit.agency,Grafit,true,2,3,3,1,3,2,51,C,Silver,Sponsored Warsaw 2026; warm renewal candidate.
cognee.ai,Cognee,true,3,3,1,1,3,5,55,B,Gold,Sponsored Warsaw 2026; warm renewal candidate.
meaningfulsales.com,Meaningful Sales,true,2,5,5,2,4,3,74,B,Silver,Sponsored Warsaw 2026; warm renewal candidate.
startup.google.com,Google for Startups,true,2,3,2,3,3,4,59,B,Gold,Sponsored Warsaw 2026; warm renewal candidate.
pfr.pl,PFR,true,2,3,4,0,3,1,48,C,Silver,Sponsored Warsaw 2026; warm renewal candidate.
gotosmith.eu,GOTOSMITH,true,2,5,3,2,4,2,67,B,Gold,Sponsored Warsaw 2026; warm renewal candidate.
salesforge.ai,Salesforge,true,3,5,5,4,4,4,87,A,Platinum,Sponsored Warsaw 2026; warm renewal candidate.
valueships.com,Valueships,true,2,3,4,3,3,3,63,B,Silver,Sponsored Warsaw 2026; warm renewal candidate.
userpilot.com,Userpilot,true,3,3,4,3,3,5,70,B,Silver,Sponsored Warsaw 2026; warm renewal candidate.
brand24.com,Brand24,true,2,3,4,4,3,2,65,B,Gold,Sponsored Warsaw 2026; warm renewal candidate.
traffit.com,TRAFFIT,true,2,3,1,5,3,0,56,B,Silver,Sponsored Warsaw 2026; warm renewal candidate.
neptune.ai,neptune.ai,true,2,3,1,0,3,2,42,C,Silver,Sponsored Warsaw 2026; warm renewal candidate.
