signal_id,signal_date,company_domain,person_linkedin_url,entity_name,signal_type,signal_summary,source,strength
sig_0001,2026-04-30,clay.com,,Clay,opened_london_office,Clay opened its first international office in London (Mar 2026); Europe already ~20% of revenue.,clay.com/blog/clay-europe-announcement,5
sig_0002,2026-05-11,clay.com,,Clay,raised_round,Clay raised $100M Series C at $3.1B led by CapitalG (Aug 2025).,techcrunch.com,5
sig_0003,2026-03-20,cognism.com,,Cognism,product_launch,Cognism shipped new AI search + intent layer; London HQ scaling EMEA.,cognism.com,3
sig_0004,2026-04-17,synthesia.io,,Synthesia,raised_round,Synthesia raised at a $2.1B valuation; moved into new Regent's Place London HQ.,synthesia.io,4
sig_0005,2026-05-07,paddle.com,,Paddle,product_launch,Paddle expanded its merchant-of-record + AI billing suite.,paddle.com,3
sig_0006,2026-05-11,11x.ai,,11x,raised_round,11x raised Series B; retains London founding office.,11x.ai,4
sig_0007,2026-04-18,elevenlabs.io,,ElevenLabs,hiring_gtm_engineer,ElevenLabs hiring across London revenue + GTM engineering.,elevenlabs.io,4
sig_0008,2026-03-20,6sense.com,,6sense,opened_london_office,6sense opened London EMEA HQ at Tower 42.,6sense.com,4
sig_0009,2026-04-17,pigment.com,,Pigment,opened_london_office,Pigment scaling its London office (1 Primrose St).,pigment.com,3
sig_0010,2026-04-16,velaris.io,,Velaris,raised_round,Velaris (London) raised €4.7M to challenge Planhat in CS.,velaris.io,3
sig_0011,2026-04-20,surferseo.com,,Surfer,hired_head_of_demand_gen,Surfer hired a new Head of Demand Generation (LinkedIn signal).,Exa,4
sig_0012,2026-05-22,viktor.com,,Viktor,launched_podcast,Viktor launched a GTM podcast / content series.,company blog,2
sig_0013,2026-04-22,getzynt.com,,ZYNT,posting_ai_gtm,ZYNT leadership posting actively on AI + GTM.,company blog,2
sig_0014,2026-05-17,grafit.agency,,Grafit,attended_competitor_event,Grafit exhibited at a competitor GTM event.,LinkedIn,2
sig_0015,2026-06-05,cognee.ai,,Cognee,launched_podcast,Cognee launched a GTM podcast / content series.,company blog,1
